ID,Overall_Experience,Seat_Comfort,Seat_Class,Arrival_Time_Convenient,Catering,Platform_Location,Onboard_Wifi_Service,Onboard_Entertainment,Online_Support,Ease_of_Online_Booking,Onboard_Service,Legroom,Baggage_Handling,CheckIn_Service,Cleanliness,Online_Boarding
98842649,1,Poor,Green Car,Poor,Poor,Inconvenient,Excellent,Good,Excellent,Good,Good,Good,Good,Acceptable,Good,Acceptable
98842650,1,Excellent,Ordinary,Good,Excellent,Manageable,Needs Improvement,Good,Good,Needs Improvement,Needs Improvement,Excellent,Needs Improvement,Excellent,Needs Improvement,Good
98842651,0,Needs Improvement,Green Car,Extremely Poor,Acceptable,Very Convenient,Good,Acceptable,Good,Good,Excellent,Needs Improvement,Excellent,Excellent,Excellent,Good
98842652,0,Acceptable,Green Car,,Needs Improvement,Needs Improvement,Acceptable,Acceptable,Acceptable,Acceptable,Good,Needs Improvement,Acceptable,Acceptable,Good,Acceptable
98842653,0,Acceptable,Ordinary,Poor,Acceptable,Convenient,Acceptable,Acceptable,Needs Improvement,Acceptable,Good,Acceptable,Good,Poor,Acceptable,Acceptable
98842654,1,Poor,Green Car,Poor,Needs Improvement,Inconvenient,Good,Excellent,Good,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Excellent,Needs Improvement,Good
98842655,0,Needs Improvement,Ordinary,Needs Improvement,Needs Improvement,Manageable,Poor,Needs Improvement,Poor,Poor,Acceptable,Excellent,Good,Poor,Acceptable,Poor
98842656,1,Excellent,Ordinary,Needs Improvement,Needs Improvement,Needs Improvement,Poor,Poor,Good,Excellent,Excellent,Excellent,Excellent,Poor,Excellent,Poor
98842657,0,Good,Ordinary,Good,Good,Manageable,Excellent,Good,Excellent,Excellent,Good,Excellent,Excellent,Acceptable,Good,Excellent
98842658,1,Good,Ordinary,Good,Good,Convenient,Poor,Good,Excellent,Good,Good,Good,Good,Poor,Good,Needs Improvement
98842659,0,Poor,Ordinary,Good,Needs Improvement,Needs Improvement,Needs Improvement,Acceptable,Good,Poor,Poor,Poor,Poor,Poor,Poor,Needs Improvement
98842660,0,Needs Improvement,Green Car,,Needs Improvement,Needs Improvement,Acceptable,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Acceptable,Needs Improvement,Poor
98842661,1,Good,Ordinary,Good,Good,Convenient,Acceptable,Good,Acceptable,Acceptable,Acceptable,Good,Good,Acceptable,Good,Acceptable
98842662,1,Needs Improvement,Green Car,Good,Good,Convenient,Needs Improvement,Acceptable,Needs Improvement,Needs Improvement,Poor,Excellent,Good,Acceptable,Needs Improvement,Needs Improvement
98842663,0,Needs Improvement,Ordinary,,Acceptable,Manageable,Excellent,Acceptable,Excellent,Excellent,Good,Needs Improvement,Acceptable,Good,Good,Excellent
98842664,1,Good,Ordinary,Good,Good,Convenient,Good,Good,Good,Good,Acceptable,Acceptable,Excellent,Good,Good,Good
98842665,0,Acceptable,Green Car,Excellent,Acceptable,Very Convenient,Needs Improvement,Acceptable,Needs Improvement,Needs Improvement,Excellent,Acceptable,Good,Acceptable,Good,Needs Improvement
98842666,0,Needs Improvement,Ordinary,Poor,Poor,Inconvenient,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Acceptable,Acceptable,Needs Improvement,Good,Needs Improvement
98842667,1,Acceptable,Ordinary,,Acceptable,Manageable,Needs Improvement,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent
98842668,0,Needs Improvement,Ordinary,Good,Needs Improvement,Convenient,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Excellent,Acceptable,Excellent,Good,Excellent,Needs Improvement
98842669,1,Good,Ordinary,Good,Good,Convenient,Excellent,Good,Excellent,Excellent,Acceptable,Needs Improvement,Good,Acceptable,Excellent,Excellent
98842670,1,Needs Improvement,Ordinary,Needs Improvement,Needs Improvement,Needs Improvement,Excellent,Excellent,Excellent,Excellent,,Needs Improvement,Good,Good,Excellent,Excellent
98842671,1,Poor,Green Car,Poor,Poor,Inconvenient,Excellent,Excellent,Excellent,Excellent,Acceptable,Excellent,Good,Excellent,Excellent,Excellent
98842672,0,Acceptable,Green Car,Needs Improvement,Needs Improvement,Needs Improvement,Acceptable,Acceptable,Acceptable,Acceptable,Poor,Good,Acceptable,Good,Acceptable,Acceptable
98842673,1,Extremely Poor,Green Car,Extremely Poor,Extremely Poor,Needs Improvement,Needs Improvement,Extremely Poor,Good,Needs Improvement,Excellent,Excellent,Acceptable,Good,Poor,Needs Improvement
98842674,0,Needs Improvement,Ordinary,Acceptable,Poor,Inconvenient,Excellent,Acceptable,Good,Poor,Poor,Needs Improvement,Poor,Needs Improvement,Poor,Poor
98842675,1,Good,Ordinary,Good,Good,Convenient,Excellent,Good,Excellent,Excellent,Excellent,Acceptable,Good,Good,Good,Excellent
98842676,1,Good,Ordinary,Good,Good,Convenient,Excellent,Good,Good,Good,Good,Good,Good,Good,Good,Good
98842677,1,Excellent,Ordinary,Excellent,Good,Very Convenient,Needs Improvement,Good,Excellent,Good,Good,Good,Good,Acceptable,Good,Good
98842678,1,Acceptable,Green Car,Acceptable,Acceptable,Manageable,Good,Poor,Acceptable,Excellent,,Good,Excellent,Needs Improvement,Excellent,Excellent
98842679,1,Extremely Poor,Ordinary,Extremely Poor,Extremely Poor,Inconvenient,Acceptable,Extremely Poor,Acceptable,Acceptable,Needs Improvement,Good,Excellent,Acceptable,Poor,Acceptable
98842680,1,Good,Green Car,Good,Good,Convenient,Needs Improvement,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent
98842681,1,Good,Green Car,Good,Good,Needs Improvement,Acceptable,Good,Acceptable,Acceptable,Good,Acceptable,Good,Poor,Acceptable,Acceptable
98842682,0,Poor,Ordinary,Excellent,,Convenient,Needs Improvement,Poor,Needs Improvement,Needs Improvement,Good,Good,Excellent,Acceptable,Poor,Needs Improvement
98842683,1,Good,Green Car,Acceptable,Acceptable,Manageable,Acceptable,Good,Acceptable,Good,Good,Good,Good,Acceptable,Good,Poor
98842684,1,Poor,Green Car,Poor,,Inconvenient,Good,Good,Excellent,Good,Good,Good,Good,Excellent,Good,Acceptable
98842685,0,Acceptable,Green Car,Extremely Poor,Acceptable,Inconvenient,Acceptable,Acceptable,Acceptable,Acceptable,Excellent,Poor,Good,Poor,Needs Improvement,Acceptable
98842686,1,Excellent,Green Car,Excellent,Excellent,Manageable,Poor,Excellent,Poor,Poor,Good,Good,Good,Good,Good,Poor
98842687,0,Poor,Green Car,Needs Improvement,Poor,Convenient,Acceptable,Poor,Acceptable,Acceptable,Acceptable,Poor,Needs Improvement,Good,Good,Acceptable
98842688,1,Needs Improvement,Ordinary,Needs Improvement,Needs Improvement,Needs Improvement,Excellent,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good
98842689,0,Needs Improvement,Green Car,Excellent,Excellent,Very Convenient,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Poor,Good,Good,Needs Improvement,Needs Improvement,Needs Improvement
98842690,1,Good,Ordinary,Acceptable,Acceptable,Manageable,Good,Good,Good,Good,Needs Improvement,Poor,Poor,Good,Good,Good
98842691,0,Poor,Green Car,Needs Improvement,Needs Improvement,Needs Improvement,Poor,Poor,Poor,Poor,Good,Needs Improvement,Acceptable,Poor,Good,Poor
98842692,0,Acceptable,Green Car,Good,Good,Convenient,Poor,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Poor,Acceptable,Good
98842693,1,Excellent,Green Car,Excellent,Excellent,Very Convenient,Excellent,Excellent,Excellent,Excellent,Needs Improvement,Poor,Excellent,Acceptable,Excellent,Excellent
98842694,1,Good,Ordinary,Excellent,Needs Improvement,Very Convenient,Good,Good,Good,Good,Acceptable,Poor,Needs Improvement,Acceptable,Excellent,Good
98842695,0,Needs Improvement,Ordinary,Good,Good,Convenient,Poor,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Acceptable
98842696,1,Extremely Poor,Green Car,Excellent,,Convenient,Needs Improvement,Extremely Poor,Acceptable,Needs Improvement,Good,Acceptable,Needs Improvement,Poor,Acceptable,Needs Improvement
98842697,0,Needs Improvement,Ordinary,Good,Needs Improvement,Manageable,Excellent,Needs Improvement,Excellent,Excellent,Needs Improvement,Poor,Good,Poor,Good,Excellent
98842698,1,Acceptable,Ordinary,Acceptable,Acceptable,Manageable,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Acceptable,Excellent,Acceptable
98842699,1,Good,Ordinary,Acceptable,Good,Manageable,Excellent,Good,Acceptable,Excellent,Good,Acceptable,Excellent,Excellent,Good,Excellent
98842700,1,Excellent,Green Car,Poor,,Convenient,Needs Improvement,Good,Poor,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Excellent
98842701,0,Good,Ordinary,Poor,Good,Needs Improvement,Excellent,Good,Excellent,Excellent,Poor,Poor,Acceptable,Acceptable,Needs Improvement,Excellent
98842702,0,Good,Green Car,Excellent,Good,Convenient,Good,Good,Good,Needs Improvement,Needs Improvement,Good,Needs Improvement,Good,Needs Improvement,Excellent
98842703,1,Good,Ordinary,Good,Good,Convenient,Good,Good,Good,Good,Acceptable,Acceptable,Excellent,Good,Excellent,Good
98842704,0,Good,Green Car,Good,Good,Convenient,Acceptable,Needs Improvement,Needs Improvement,Excellent,Excellent,Good,Excellent,Needs Improvement,Excellent,Good
98842705,1,Needs Improvement,Ordinary,Needs Improvement,Needs Improvement,Needs Improvement,Excellent,Excellent,Excellent,Needs Improvement,Excellent,Acceptable,Needs Improvement,Excellent,Poor,Excellent
98842706,0,Acceptable,Green Car,Good,Acceptable,Inconvenient,Acceptable,Acceptable,Acceptable,Acceptable,Needs Improvement,Needs Improvement,Excellent,Excellent,Good,Acceptable
98842707,1,Acceptable,Green Car,Poor,Acceptable,Manageable,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Acceptable
98842708,0,Needs Improvement,Ordinary,Good,Good,Convenient,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Good,Poor,Good,Poor,Acceptable,Needs Improvement
98842709,1,Good,Green Car,,Good,Convenient,Poor,Acceptable,Excellent,Good,Good,Good,Excellent,Poor,Good,Poor
98842710,0,Poor,Green Car,Poor,Poor,Inconvenient,Poor,Poor,Poor,Poor,Needs Improvement,Acceptable,Acceptable,Needs Improvement,Acceptable,Poor
98842711,1,Good,Green Car,Good,Good,Convenient,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent
98842712,0,Needs Improvement,Ordinary,Needs Improvement,Needs Improvement,Inconvenient,Excellent,Needs Improvement,Excellent,Excellent,Good,Excellent,Good,Poor,Acceptable,Excellent
98842713,1,Extremely Poor,Ordinary,Extremely Poor,Extremely Poor,Needs Improvement,Excellent,Extremely Poor,Good,Excellent,Poor,Excellent,Needs Improvement,Good,Acceptable,Excellent
98842714,0,Poor,Green Car,Acceptable,Poor,Convenient,Needs Improvement,Poor,Needs Improvement,Needs Improvement,Poor,Acceptable,Acceptable,Poor,Acceptable,Needs Improvement
98842715,0,Good,Ordinary,Acceptable,,Manageable,Needs Improvement,Acceptable,Good,Good,Good,Good,Good,Acceptable,Good,Good
98842716,0,Poor,Green Car,Poor,Poor,Manageable,Good,Poor,Good,Good,Good,Excellent,Good,Good,Acceptable,Good
98842717,1,Good,Ordinary,Extremely Poor,Good,Needs Improvement,Poor,Good,Poor,Poor,Acceptable,Acceptable,Excellent,Excellent,Good,Poor
98842718,0,Needs Improvement,Green Car,,Acceptable,Convenient,Poor,Acceptable,Poor,Poor,Excellent,Needs Improvement,Good,Acceptable,Excellent,Poor
98842719,1,Excellent,Green Car,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Acceptable,Acceptable,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Acceptable
98842720,0,Needs Improvement,Ordinary,Acceptable,Acceptable,Manageable,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,,Needs Improvement,Good,Needs Improvement,Good,Needs Improvement
98842721,1,Excellent,Ordinary,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Acceptable,Good,Excellent,Excellent,Excellent,Excellent,Poor,Excellent,Acceptable
98842722,1,Poor,Ordinary,Poor,Poor,Inconvenient,Acceptable,Good,Good,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Acceptable,Needs Improvement,Acceptable
98842723,1,Needs Improvement,Ordinary,Needs Improvement,Poor,Needs Improvement,Acceptable,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Good
98842724,0,Poor,Green Car,Poor,Poor,Needs Improvement,Acceptable,Poor,Acceptable,Acceptable,Acceptable,Acceptable,Poor,Poor,Poor,Acceptable
98842725,0,Poor,Ordinary,Acceptable,,Manageable,Needs Improvement,Poor,Good,Needs Improvement,Good,Acceptable,Good,Acceptable,Acceptable,Needs Improvement
98842726,1,Excellent,Ordinary,,Excellent,Very Convenient,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Acceptable
98842727,0,Good,Ordinary,Good,,Manageable,Good,Good,Good,Good,Good,Excellent,Acceptable,Poor,Good,Good
98842728,1,Acceptable,Green Car,Acceptable,Acceptable,Manageable,Good,Good,Good,Good,Poor,Excellent,Poor,Acceptable,Good,Good
98842729,1,Excellent,Ordinary,Excellent,Excellent,Manageable,Poor,Excellent,Poor,Poor,Excellent,Good,Good,Excellent,Excellent,Poor
98842730,0,Needs Improvement,Ordinary,Extremely Poor,Acceptable,Needs Improvement,Excellent,Acceptable,Excellent,Excellent,,Acceptable,Poor,Poor,Good,Excellent
98842731,1,Acceptable,Ordinary,Acceptable,Acceptable,Manageable,Needs Improvement,Good,Good,Good,Good,Good,Good,Excellent,Good,Excellent
98842732,1,Poor,Ordinary,Poor,Poor,Inconvenient,Excellent,Excellent,Good,Good,Good,Good,Good,Good,Good,Acceptable
98842733,1,Good,Ordinary,Good,Good,Convenient,Excellent,Excellent,Good,Good,Good,Good,Good,Excellent,Good,Acceptable
98842734,1,Good,Ordinary,Good,Good,Convenient,Good,Acceptable,Good,Good,Good,Good,Good,Needs Improvement,Good,Needs Improvement
98842735,1,Excellent,Green Car,Poor,,Very Convenient,Excellent,Good,Good,Good,Good,Excellent,Excellent,Good,Good,Good
98842736,0,Acceptable,Green Car,Excellent,Acceptable,Needs Improvement,Acceptable,Good,Good,Excellent,Excellent,Excellent,Excellent,Good,Acceptable,Good
98842737,1,Needs Improvement,Green Car,Needs Improvement,Needs Improvement,Needs Improvement,Good,Needs Improvement,Poor,Good,,Good,Good,Good,Good,Poor
98842738,1,Excellent,Ordinary,Needs Improvement,Needs Improvement,Needs Improvement,Excellent,Excellent,Excellent,Excellent,Acceptable,Acceptable,Good,Needs Improvement,Excellent,Excellent
98842739,1,Good,Ordinary,Poor,,Manageable,Good,Acceptable,Good,Good,Good,Excellent,Needs Improvement,Good,Acceptable,Good
98842740,0,Good,Ordinary,Good,Good,Inconvenient,Needs Improvement,Good,Needs Improvement,Needs Improvement,Acceptable,Excellent,Good,Good,Good,Needs Improvement
98842741,0,Good,Green Car,Good,Extremely Poor,Manageable,Needs Improvement,Extremely Poor,Needs Improvement,Needs Improvement,Good,Acceptable,Good,Good,Excellent,Needs Improvement
98842742,0,Poor,Green Car,Good,Extremely Poor,Convenient,Good,Extremely Poor,Good,Good,,Excellent,Acceptable,Acceptable,Good,Good
98842743,1,Good,Ordinary,Good,Good,Convenient,Excellent,Good,Good,Excellent,,Good,Excellent,Excellent,Excellent,Excellent
98842744,1,Poor,Green Car,Poor,,Inconvenient,Excellent,Excellent,Excellent,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent
98842745,1,Poor,Ordinary,Poor,Acceptable,Inconvenient,Excellent,Good,Good,Good,,Good,Good,Good,Good,Good
98842746,1,Excellent,Ordinary,Excellent,Excellent,Very Convenient,Good,Excellent,Excellent,Good,Good,Good,Good,Acceptable,Good,Excellent
98842747,0,Poor,Ordinary,Acceptable,Acceptable,Manageable,Poor,Poor,Poor,Poor,Needs Improvement,Good,Acceptable,Poor,Acceptable,Poor
98842748,1,Needs Improvement,Green Car,Needs Improvement,Needs Improvement,Needs Improvement,Good,Acceptable,Needs Improvement,Excellent,Excellent,Excellent,Good,Needs Improvement,Excellent,Excellent
98842749,0,Needs Improvement,Green Car,Acceptable,Acceptable,Manageable,Excellent,Acceptable,Good,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Poor,Needs Improvement,Poor
98842750,1,Excellent,Ordinary,Excellent,Excellent,Very Convenient,Excellent,Good,Good,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Good
98842751,0,Good,Green Car,Good,Good,Convenient,Good,Good,Good,Good,Poor,Acceptable,Good,Needs Improvement,Acceptable,Good
98842752,1,Excellent,Green Car,Good,Excellent,Convenient,Good,Excellent,Good,Good,Acceptable,Excellent,Acceptable,Excellent,Poor,Good
98842753,0,Needs Improvement,Ordinary,Acceptable,Acceptable,Manageable,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Poor,Excellent,Good,Acceptable,Good,Needs Improvement
98842754,1,Poor,Green Car,Poor,Poor,Inconvenient,Good,Excellent,Excellent,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Excellent,Needs Improvement,Good
98842755,0,Good,Green Car,Good,Good,Convenient,Acceptable,Needs Improvement,Acceptable,Acceptable,Acceptable,Good,Poor,Needs Improvement,Acceptable,Good
98842756,1,Excellent,Green Car,Excellent,Acceptable,Very Convenient,Excellent,Poor,Good,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Good,Needs Improvement,Needs Improvement
98842757,0,Acceptable,Ordinary,Good,Acceptable,Manageable,Acceptable,Acceptable,Acceptable,Acceptable,Excellent,Excellent,Excellent,Acceptable,Good,Acceptable
98842758,0,Needs Improvement,Ordinary,Good,Needs Improvement,Manageable,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Poor,Poor,Acceptable,Needs Improvement,Good,Needs Improvement
98842759,1,Needs Improvement,Green Car,Needs Improvement,,Needs Improvement,Poor,Poor,Excellent,Acceptable,Acceptable,Good,Acceptable,Good,Acceptable,Good
98842760,1,Good,Ordinary,Good,Good,Convenient,Needs Improvement,Excellent,Good,Good,Good,Excellent,Good,Excellent,Good,Good
98842761,1,Good,Ordinary,Good,Good,Convenient,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good
98842762,0,Needs Improvement,Ordinary,Excellent,Poor,Needs Improvement,Good,Poor,Good,Good,Excellent,Excellent,Acceptable,Acceptable,Poor,Good
98842763,0,Acceptable,Green Car,Poor,,Inconvenient,Poor,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Poor
98842764,0,Good,Ordinary,Poor,Acceptable,Inconvenient,Good,Acceptable,Good,Good,Good,Acceptable,Acceptable,Needs Improvement,Acceptable,Good
98842765,0,Good,Ordinary,Needs Improvement,Needs Improvement,Needs Improvement,Poor,Acceptable,Good,Good,,Good,Good,Needs Improvement,Good,Poor
98842766,0,Good,Ordinary,Poor,Poor,Inconvenient,Needs Improvement,Acceptable,Good,Good,Good,Good,Good,Acceptable,Good,Poor
98842767,1,Needs Improvement,Green Car,Needs Improvement,,Needs Improvement,Good,Excellent,Excellent,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Poor,Needs Improvement,Excellent
98842768,1,Needs Improvement,Ordinary,Needs Improvement,Needs Improvement,Needs Improvement,Good,Good,Good,Poor,Poor,Acceptable,Good,Good,Good,Good
98842769,0,Acceptable,Green Car,Excellent,Excellent,Very Convenient,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Good,Good,Needs Improvement,Acceptable,Acceptable
98842770,1,Acceptable,Ordinary,,Acceptable,Manageable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Excellent,Excellent,Excellent,Acceptable
98842771,0,Poor,Ordinary,Excellent,Needs Improvement,Convenient,Poor,Needs Improvement,Poor,Poor,Good,Acceptable,Excellent,Acceptable,Good,Poor
98842772,1,Needs Improvement,Green Car,Needs Improvement,Needs Improvement,Needs Improvement,Acceptable,Excellent,Good,Good,Good,Good,Good,Good,Good,Good
98842773,0,Good,Ordinary,Excellent,,Needs Improvement,Needs Improvement,Acceptable,Poor,Needs Improvement,Excellent,Poor,Needs Improvement,Good,Poor,Needs Improvement
98842774,1,Excellent,Ordinary,Excellent,Excellent,Convenient,Poor,Excellent,Poor,Poor,Excellent,Needs Improvement,Excellent,Excellent,Good,Poor
98842775,0,Needs Improvement,Ordinary,Acceptable,Acceptable,Manageable,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Good,Good,Needs Improvement,Poor,Needs Improvement
98842776,1,Needs Improvement,Ordinary,,Needs Improvement,Needs Improvement,Acceptable,Needs Improvement,Needs Improvement,Excellent,Excellent,Excellent,Excellent,Needs Improvement,Excellent,Acceptable
98842777,0,Acceptable,Green Car,Good,Acceptable,Convenient,Needs Improvement,Acceptable,Needs Improvement,Needs Improvement,Acceptable,Needs Improvement,Excellent,Acceptable,Good,Needs Improvement
98842778,1,Excellent,Green Car,Good,,Very Convenient,Excellent,Good,Excellent,Good,Good,Good,Good,Good,Good,Good
98842779,1,Poor,Green Car,Poor,,Inconvenient,Good,Excellent,Good,Good,Good,Good,Good,Good,Good,Acceptable
98842780,1,Good,Green Car,Excellent,Excellent,Very Convenient,Good,Good,Good,Good,Needs Improvement,Excellent,Good,Acceptable,Poor,Good
98842781,1,Good,Green Car,Good,Good,Convenient,Acceptable,Good,Good,Good,Good,Good,Good,Acceptable,Good,Excellent
98842782,0,Needs Improvement,Ordinary,Needs Improvement,Needs Improvement,Inconvenient,Good,Needs Improvement,Good,Good,Excellent,Good,Excellent,Excellent,Good,Good
98842783,1,Poor,Green Car,Poor,,Inconvenient,Excellent,Good,Good,Excellent,Excellent,Excellent,Excellent,Acceptable,Excellent,Acceptable
98842784,1,Good,Green Car,Excellent,Excellent,Very Convenient,Good,Good,Good,Good,Needs Improvement,Acceptable,Acceptable,Poor,Good,Good
98842785,0,Needs Improvement,Green Car,,Poor,Convenient,Poor,Poor,Good,Poor,Poor,Excellent,Acceptable,Poor,Acceptable,Poor
98842786,1,Good,Green Car,Good,,Convenient,Needs Improvement,Excellent,Good,Good,Good,Good,Good,Excellent,Good,Acceptable
98842787,0,Needs Improvement,Green Car,Acceptable,Needs Improvement,Convenient,Good,Needs Improvement,Good,Good,Poor,Excellent,Good,Excellent,Good,Good
98842788,0,Acceptable,Ordinary,Poor,Poor,Inconvenient,Acceptable,Acceptable,Acceptable,Acceptable,Poor,Needs Improvement,Good,Acceptable,Acceptable,Acceptable
98842789,1,Poor,Ordinary,Poor,Poor,Inconvenient,Good,Good,Excellent,Good,Good,Good,Good,Good,Good,Acceptable
98842790,0,Needs Improvement,Green Car,Acceptable,Needs Improvement,Convenient,Poor,Needs Improvement,Poor,Poor,Acceptable,Needs Improvement,Acceptable,Good,Good,Poor
98842791,1,Good,Green Car,Good,,Convenient,Needs Improvement,Good,Poor,Good,Good,Good,Good,Poor,Good,Excellent
98842792,1,Good,Ordinary,,Good,Convenient,Acceptable,Good,Excellent,Good,Good,Good,Good,Acceptable,Good,Acceptable
98842793,1,Good,Green Car,Good,Good,Convenient,Good,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good
98842794,0,Needs Improvement,Ordinary,Extremely Poor,,Needs Improvement,Poor,Acceptable,Poor,Poor,Needs Improvement,Acceptable,Good,Poor,Poor,Poor
98842795,0,Needs Improvement,Green Car,Poor,Excellent,Inconvenient,Good,Acceptable,Needs Improvement,Good,Good,Good,Acceptable,Poor,Acceptable,Good
98842796,1,Good,Ordinary,Needs Improvement,Good,Convenient,Needs Improvement,Good,Acceptable,Good,Good,Good,Good,Poor,Good,Acceptable
98842797,0,Poor,Ordinary,Poor,Poor,Inconvenient,Excellent,Acceptable,Good,Needs Improvement,Needs Improvement,Needs Improvement,Poor,Acceptable,Needs Improvement,Good
98842798,0,Good,Ordinary,Needs Improvement,Good,Manageable,Poor,Good,Poor,Poor,Good,Good,Needs Improvement,Good,Acceptable,Poor
98842799,0,Acceptable,Ordinary,Excellent,Acceptable,Very Convenient,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Poor
98842800,1,Excellent,Ordinary,Excellent,Excellent,Very Convenient,Excellent,Excellent,Good,Excellent,,Excellent,Excellent,Good,Excellent,Acceptable
98842801,1,Excellent,Ordinary,,Excellent,Needs Improvement,Needs Improvement,Excellent,Needs Improvement,Needs Improvement,Excellent,Acceptable,Needs Improvement,Good,Needs Improvement,Needs Improvement
98842802,1,Good,Green Car,Excellent,Excellent,Very Convenient,Acceptable,Good,Poor,Good,Good,Good,Good,Needs Improvement,Good,Needs Improvement
98842803,0,Acceptable,Green Car,Extremely Poor,,Very Convenient,Needs Improvement,Acceptable,Needs Improvement,Needs Improvement,Good,Excellent,Good,Excellent,Good,Needs Improvement
98842804,1,Good,Green Car,Good,Good,Manageable,Good,Good,Good,Good,Acceptable,Poor,Needs Improvement,Acceptable,Good,Good
98842805,1,Excellent,Green Car,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Acceptable,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good
98842806,0,Good,Green Car,Acceptable,,Manageable,Excellent,Good,Excellent,Excellent,Needs Improvement,Excellent,Needs Improvement,Poor,Good,Excellent
98842807,1,Excellent,Green Car,Good,Excellent,Very Convenient,Needs Improvement,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Acceptable,Excellent,Acceptable
98842808,1,Excellent,Green Car,Poor,Poor,Inconvenient,Excellent,Needs Improvement,Needs Improvement,Excellent,Excellent,Excellent,Excellent,Poor,Excellent,Needs Improvement
98842809,1,Good,Ordinary,Extremely Poor,Good,Manageable,Excellent,Good,Needs Improvement,Excellent,,Excellent,Good,Excellent,Good,Excellent
98842810,1,Excellent,Green Car,Acceptable,Acceptable,Manageable,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Acceptable,Needs Improvement,Excellent
98842811,1,Poor,Ordinary,Poor,Poor,Inconvenient,Excellent,Excellent,Excellent,Good,Good,Good,Good,Acceptable,Good,Excellent
98842812,0,Good,Ordinary,Needs Improvement,Good,Manageable,Poor,Good,Poor,Poor,Acceptable,Excellent,Acceptable,Needs Improvement,Acceptable,Poor
98842813,0,Good,Ordinary,,Acceptable,Manageable,Good,Acceptable,Needs Improvement,Good,Good,Good,Good,Poor,Good,Poor
98842814,0,Good,Ordinary,Needs Improvement,,Manageable,Good,Good,Good,Good,Acceptable,Poor,Good,Acceptable,Acceptable,Good
98842815,1,Acceptable,Ordinary,Acceptable,Acceptable,Manageable,Good,Excellent,Excellent,Excellent,Poor,Excellent,Acceptable,Excellent,Needs Improvement,Excellent
98842816,0,Good,Ordinary,Excellent,Acceptable,Convenient,Acceptable,Acceptable,Acceptable,Acceptable,Poor,Needs Improvement,Poor,Acceptable,Needs Improvement,Acceptable
98842817,1,Acceptable,Green Car,Acceptable,Needs Improvement,Manageable,Needs Improvement,Good,Good,Acceptable,Acceptable,Good,Acceptable,Good,Acceptable,Excellent
98842818,1,Excellent,Ordinary,Good,Good,Convenient,Needs Improvement,Good,Acceptable,Needs Improvement,Good,Good,Excellent,Acceptable,Acceptable,Needs Improvement
